{ 10071541} -> { 10054606} (conf: 0.100, supp: 0.007, lift: 2.357, conv: 1.064)
{ 10054606} -> { 10071541} (conf: 0.159, supp: 0.007, lift: 2.357, conv: 1.109)
{ 10054606} -> { 10053663} (conf: 0.122, supp: 0.005, lift: 2.437, conv: 1.082)
{ 10053663} -> { 10054606} (conf: 0.103, supp: 0.005, lift: 2.437, conv: 1.068)
{ 10054624} -> { 10053663} (conf: 0.136, supp: 0.005, lift: 2.702, conv: 1.099)
{ 10053663} -> { 10054624} (conf: 0.101, supp: 0.005, lift: 2.702, conv: 1.071)
{ 10071541} -> { 10054693} (conf: 0.111, supp: 0.008, lift: 2.891, conv: 1.082)
{ 10054693} -> { 10071541} (conf: 0.195, supp: 0.008, lift: 2.891, conv: 1.159)
{ 10071541} -> { 10053662} (conf: 0.094, supp: 0.006, lift: 2.933, conv: 1.069)
{ 10053662} -> { 10071541} (conf: 0.198, supp: 0.006, lift: 2.933, conv: 1.163)
{ 10069664} -> { 10054693} (conf: 0.115, supp: 0.007, lift: 2.999, conv: 1.087)
{ 10054693} -> { 10069664} (conf: 0.188, supp: 0.007, lift: 2.999, conv: 1.154)
{ 10069664} -> { 10054624} (conf: 0.115, supp: 0.007, lift: 3.080, conv: 1.088)
{ 10054624} -> { 10069664} (conf: 0.193, supp: 0.007, lift: 3.080, conv: 1.161)
{ 10071541} -> { 10053663} (conf: 0.155, supp: 0.010, lift: 3.090, conv: 1.124)
{ 10053663} -> { 10071541} (conf: 0.209, supp: 0.010, lift: 3.090, conv: 1.178)
{ 10071541} -> { 10054708} (conf: 0.094, supp: 0.006, lift: 3.506, conv: 1.074)
{ 10054708} -> { 10071541} (conf: 0.237, supp: 0.006, lift: 3.506, conv: 1.222)
{ 10071541} -> { 10069664} (conf: 0.223, supp: 0.015, lift: 3.558, conv: 1.206)
{ 10069664} -> { 10071541} (conf: 0.240, supp: 0.015, lift: 3.558, conv: 1.227)
{ 10071541} -> { 10053664} (conf: 0.129, supp: 0.009, lift: 3.577, conv: 1.106)
{ 10053664} -> { 10071541} (conf: 0.242, supp: 0.009, lift: 3.577, conv: 1.229)
{ 10071541} -> { 10053791} (conf: 0.074, supp: 0.005, lift: 3.707, conv: 1.058)
{ 10053791} -> { 10071541} (conf: 0.250, supp: 0.005, lift: 3.707, conv: 1.244)
{ 10069664} -> { 10053662} (conf: 0.120, supp: 0.007, lift: 3.727, conv: 1.099)
{ 10053662} -> { 10069664} (conf: 0.234, supp: 0.007, lift: 3.727, conv: 1.223)
{ 10054693} -> { 10053663} (conf: 0.188, supp: 0.007, lift: 3.746, conv: 1.170)
{ 10053663} -> { 10054693} (conf: 0.144, supp: 0.007, lift: 3.746, conv: 1.123)
{ 10307829} -> { 10071541} (conf: 0.256, supp: 0.006, lift: 3.791, conv: 1.253)
{ 10071541} -> { 10307829} (conf: 0.088, supp: 0.006, lift: 3.791, conv: 1.071)
{ 10307816} -> { 10071541} (conf: 0.256, supp: 0.008, lift: 3.796, conv: 1.254)
{ 10071541} -> { 10307816} (conf: 0.121, supp: 0.008, lift: 3.796, conv: 1.102)
{ 10071541} -> { 10071535} (conf: 0.075, supp: 0.005, lift: 3.817, conv: 1.060)
{ 10071535} -> { 10071541} (conf: 0.258, supp: 0.005, lift: 3.817, conv: 1.256)
{ 10069664} -> { 10053663} (conf: 0.204, supp: 0.013, lift: 4.055, conv: 1.193)
{ 10053663} -> { 10069664} (conf: 0.254, supp: 0.013, lift: 4.055, conv: 1.257)
{ 10069664} -> { 10053664} (conf: 0.148, supp: 0.009, lift: 4.121, conv: 1.132)
{ 10053664} -> { 10069664} (conf: 0.258, supp: 0.009, lift: 4.121, conv: 1.264)
{ 10069664} -> { 10053660} (conf: 0.087, supp: 0.005, lift: 4.203, conv: 1.073)
{ 10053660} -> { 10069664} (conf: 0.263, supp: 0.005, lift: 4.203, conv: 1.272)
{ 10071541} -> { 10054624} (conf: 0.158, supp: 0.011, lift: 4.221, conv: 1.143)
{ 10054624} -> { 10071541} (conf: 0.285, supp: 0.011, lift: 4.221, conv: 1.304)
{ 10053664} -> { 10053663} (conf: 0.233, supp: 0.008, lift: 4.642, conv: 1.239)
{ 10053663} -> { 10053664} (conf: 0.167, supp: 0.008, lift: 4.642, conv: 1.157)
{ 10053664} -> { 10053662} (conf: 0.151, supp: 0.005, lift: 4.709, conv: 1.140)
{ 10053662} -> { 10053664} (conf: 0.169, supp: 0.005, lift: 4.709, conv: 1.160)
{ 10083185} -> { 10010461} (conf: 0.073, supp: 0.006, lift: 5.202, conv: 1.064)
{ 10010461} -> { 10083185} (conf: 0.449, supp: 0.006, lift: 5.202, conv: 1.659)
{ 10053663} -> { 10053660} (conf: 0.111, supp: 0.006, lift: 5.371, conv: 1.102)
{ 10053660} -> { 10053663} (conf: 0.270, supp: 0.006, lift: 5.371, conv: 1.301)
{ 10053663} -> { 10053662} (conf: 0.185, supp: 0.009, lift: 5.756, conv: 1.187)
{ 10053662} -> { 10053663} (conf: 0.289, supp: 0.009, lift: 5.756, conv: 1.336)
{ 10071541} -> { 10053898} (conf: 0.121, supp: 0.008, lift: 7.746, conv: 1.120)
{ 10053898} -> { 10071541} (conf: 0.523, supp: 0.008, lift: 7.746, conv: 1.955)
